ReportName,Criteria
Sarvadi_T_L_Reports\Sarvadi_Red_Zone_2019_Deposits.report,"Asset Based Lending,Builder Finance,Dallas Corporate,Fort Worth Corporate,Leasing,Franchise,Houston Corporate"
Wilson_T_L_Reports\X2019_T_L_Won_Deals_Wilson.report,"Dallas Commercial,Dallas Commercial 2,Dallas Commercial 3,Fort Worth,Houston Commercial 1,Houston Commercial 2,Mark Johnson"
